                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 0.4746,                0.52137,                0.33164,                0.84327,                0.92899,                0.88158,                0.89876,                0.80947,                0.88713,                0.84211,                0.85019,                0.47103,                0.44593,                0.34018,                0.38742,                0.81275,             0.00076364,             0.00076364,             0.00076364
                     67,                0.45628,                0.48505,                0.32457,                0.83815,                0.96274,                0.82895,                0.91134,                0.80444,                0.90111,                0.76316,                0.83085,                0.47423,                0.44519,                0.34951,                0.36918,                0.83399,             0.00075698,             0.00075698,             0.00075698
                     68,                0.43929,                0.47433,                0.34418,                0.82127,                0.95396,                0.84211,                0.90226,                0.80715,                0.91665,                   0.75,                 0.8325,                0.47271,                0.44328,                0.36276,                0.35238,                0.84469,             0.00075025,             0.00075025,             0.00075025
                     69,                0.44079,                 0.4623,                0.30716,                0.82825,                0.96961,                0.83977,                0.90838,                 0.8073,                0.90886,                0.78728,                0.84568,                0.47718,                0.46333,                0.35188,                0.38837,                0.84898,             0.00074347,             0.00074347,             0.00074347
                     70,                0.45857,                 0.4898,                 0.3185,                0.83459,                0.92992,                0.88158,                0.91953,                0.81754,                0.88787,                0.84211,                0.86681,                0.46566,                0.46158,                0.35324,                0.35262,                0.84101,             0.00073663,             0.00073663,             0.00073663
                     71,                0.46766,                0.51526,                0.34591,                0.85055,                0.95148,                0.85526,                0.91389,                0.81666,                0.90757,                0.81579,                0.87791,                0.50414,                0.47952,                0.34229,                0.36266,                0.83954,             0.00072973,             0.00072973,             0.00072973
                     72,                0.45464,                0.49599,                0.32443,                0.83334,                0.96938,                0.86842,                0.92759,                0.81535,                0.92508,                0.82895,                0.87444,                0.50786,                0.47254,                0.34227,                0.37207,                0.83701,             0.00072277,             0.00072277,             0.00072277
                     73,                0.48043,                0.54069,                0.33799,                 0.8492,                      1,                0.81227,                0.91565,                0.79342,                 0.9514,                 0.7728,                0.85572,                0.47911,                0.48555,                0.34028,                0.41356,                0.86147,             0.00071576,             0.00071576,             0.00071576
                     74,                0.45063,                0.48591,                 0.3151,                0.83728,                0.96554,                0.85526,                0.91324,                0.79206,                0.93574,                0.82895,                0.88241,                0.47882,                0.49039,                0.34919,                 0.3891,                 0.8519,              0.0007087,              0.0007087,              0.0007087
                     75,                0.46038,                0.48712,                0.31757,                0.83887,                 0.9283,                0.86842,                0.89868,                0.79652,                0.91423,                0.85526,                0.88748,                0.49164,                 0.4731,                0.34452,                0.39627,                0.84388,             0.00070159,             0.00070159,             0.00070159
