                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.55523,                0.57571,                0.43974,                0.86033,                0.91163,                0.81444,                0.88571,                0.75759,                0.88219,                0.78824,                0.83151,                0.41122,                 0.5643,                0.37166,                0.51213,                0.89752,              0.0041225,              0.0041225,              0.0041225
                     58,                0.55616,                0.55529,                 0.4472,                0.86204,                0.91148,                0.85526,                0.88962,                0.75554,                0.85518,                0.80263,                0.82929,                0.47433,                0.62175,                0.37613,                0.54852,                 0.9104,              0.0039702,              0.0039702,              0.0039702
                     59,                0.52775,                0.54509,                 0.4371,                0.85423,                 0.9281,                0.84933,                0.89149,                 0.7551,                0.88348,                0.80263,                0.81655,                0.46383,                0.58587,                0.31961,                0.47125,                0.88457,               0.003819,               0.003819,               0.003819
                     60,                0.53187,                0.56209,                0.43123,                0.85495,                0.88583,                0.78947,                0.87538,                0.77064,                0.86091,                0.80263,                 0.8636,                0.48674,                0.58609,                0.31851,                  0.472,                0.87348,               0.003669,               0.003669,               0.003669
                     61,                0.51599,                0.52628,                0.41633,                0.85446,                0.91417,                0.84086,                0.88701,                0.76743,                0.87514,                0.83002,                0.87355,                 0.4727,                0.56797,                0.36462,                0.50334,                 0.8809,              0.0035204,              0.0035204,              0.0035204
                     62,                0.50279,                0.53053,                0.42976,                0.85077,                 0.9205,                0.81579,                0.90602,                0.77642,                0.90555,                0.80263,                0.87568,                0.48876,                0.56105,                 0.3613,                 0.4799,                0.87646,              0.0033732,              0.0033732,              0.0033732
                     63,                0.54117,                0.57025,                0.42709,                 0.8592,                0.92749,                0.84154,                0.90201,                  0.768,                 0.8985,                0.81535,                0.86266,                0.48565,                0.57009,                 0.3249,                0.48715,                0.88749,              0.0032278,              0.0032278,              0.0032278
                     64,                  0.514,                0.52264,                 0.4042,                0.85307,                0.91246,                0.85526,                0.90497,                0.79182,                0.87016,                0.81579,                0.85176,                0.47508,                0.51583,                0.32597,                 0.4759,                0.84116,              0.0030841,              0.0030841,              0.0030841
                     65,                 0.5145,                0.56028,                0.39541,                0.84691,                0.93165,                0.85526,                0.89779,                0.76377,                0.89735,                0.80522,                0.83511,                0.46069,                0.60888,                0.34723,                0.47775,                0.92168,              0.0029424,              0.0029424,              0.0029424
                     66,                0.49457,                0.49953,                0.39416,                0.84599,                0.95275,                0.84211,                0.88158,                0.77405,                0.92283,                0.81579,                0.85663,                0.47674,                 0.5902,                0.33439,                0.48396,                0.91207,              0.0028027,              0.0028027,              0.0028027
                     67,                0.50149,                0.51738,                0.39203,                0.84854,                0.92614,                0.82502,                0.89519,                0.78334,                0.86707,                0.77249,                0.80953,                 0.4583,                0.59394,                  0.346,                0.46646,                0.92386,              0.0026653,              0.0026653,              0.0026653
                     68,                0.47942,                0.51758,                0.42793,                0.84444,                0.92498,                0.85526,                0.88171,                0.76763,                0.86975,                0.82895,                0.84428,                0.45648,                0.58982,                0.35887,                0.47279,                0.92827,              0.0025302,              0.0025302,              0.0025302
                     69,                0.47542,                0.50368,                0.37644,                0.83455,                0.89833,                0.85526,                0.88565,                0.77721,                0.85686,                0.81579,                0.83825,                 0.4596,                 0.6115,                0.32961,                0.49542,                0.92106,              0.0023977,              0.0023977,              0.0023977
                     70,                0.47467,                0.51687,                0.37207,                0.84003,                0.90396,                0.86842,                0.88719,                0.78311,                0.86262,                0.82895,                0.82629,                0.47405,                0.53417,                0.32439,                0.45036,                0.84801,              0.0022677,              0.0022677,              0.0022677
                     71,                0.48315,                0.51653,                0.38565,                 0.8523,                0.91498,                0.84964,                0.87482,                0.77373,                0.87935,                0.84211,                0.85238,                 0.4805,                0.55461,                0.33424,                0.46104,                0.88433,              0.0021405,              0.0021405,              0.0021405
                     72,                0.48842,                0.52982,                0.37798,                0.84417,                0.89118,                0.88158,                0.89657,                0.78827,                0.86451,                0.85526,                0.86327,                0.49691,                0.57045,                0.33016,                0.44828,                0.92266,              0.0020161,              0.0020161,              0.0020161
                     73,                0.48299,                0.55671,                0.38495,                0.85502,                0.91333,                0.85526,                0.89579,                0.77729,                0.86279,                0.85526,                0.87509,                0.50138,                0.54546,                0.31693,                0.46933,                0.88321,              0.0018948,              0.0018948,              0.0018948
                     74,                0.46421,                0.49628,                0.36759,                0.83655,                0.90295,                0.89474,                0.89742,                0.78679,                0.88951,                0.88158,                0.87958,                 0.5086,                0.56445,                0.31345,                0.44986,                0.91282,              0.0017765,              0.0017765,              0.0017765
                     75,                0.45352,                0.49933,                0.36217,                 0.8406,                0.92269,                0.84211,                0.89709,                0.77625,                0.90827,                0.82895,                0.88249,                0.49256,                0.62442,                0.32249,                  0.456,                0.96205,              0.0016615,              0.0016615,              0.0016615
                     76,                 0.4961,                0.46283,                0.37771,                 0.8483,                 0.9392,                0.81308,                0.88749,                0.76913,                0.93254,                0.80263,                0.86787,                0.49458,                0.60838,                0.32257,                0.45289,                0.97487,              0.0015498,              0.0015498,              0.0015498
                     77,                0.44847,                0.50622,                0.37395,                0.82917,                0.91522,                0.85231,                0.88303,                0.76003,                0.90109,                0.83915,                0.86799,                0.49034,                0.59664,                0.32122,                0.45388,                0.96737,              0.0014416,              0.0014416,              0.0014416
